Esperado,Obtenido,,,,ANN
348.684,444.878,5,4,-96.194,28
380.586,468.938,6,4,-88.352,23
458.67,515.072,7,4,-56.402,12
449.591,467.628,8,4,-18.037,4
512.539,633.601,9,4,-121.062,24
527.758,845.061,10,4,-317.303,60
604.649,676.48,11,4,-71.831,12
586.253,823.326,12,4,-237.073,40
645.922,742.533,13,4,-96.611,15
710.046,759.106,14,4,-49.06,7
671.403,791.286,15,4,-119.883,18
690.915,809.889,16,4,-118.974,17
814.049,984.484,17,4,-170.435,21
742.592,840.151,18,4,-97.559,13
832.022,1035.963,19,4,-203.941,25
879.625,981.826,20,4,-102.201,12
877.403,997.941,21,4,-120.538,14
840.996,995.486,22,4,-154.49,18
911.492,1056.407,23,4,-144.915,16
1015.767,1182.292,24,4,-166.525,16
1060.448,1439.653,25,4,-379.205,36
1049.047,1418.675,26,4,-369.628,35
1189.481,1674.671,27,4,-485.19,41
1130.95,1475.945,28,4,-344.995,31
1272.718,1611.421,29,4,-338.703,27
1335.517,1617.398,30,4,-281.881,21
1365.062,1653.077,31,4,-288.015,21
1328.375,1676.482,32,4,-348.107,26
1305.058,1726.417,33,4,-421.359,32
1333.109,1627.042,34,4,-293.933,22
1432.316,1642.575,35,4,-210.259,15
1485.499,1790.206,36,4,-304.707,21
1427.033,1804.19,37,4,-377.157,26
1572.401,1835.96,38,4,-263.559,17
1592.441,1766.908,39,4,-174.467,11
1576.781,1890.569,40,4,-313.788,20
1659.756,1945.13,41,4,-285.374,17
1647.826,1870,42,4,-222.174,13
1602.36,2189.958,43,4,-587.598,37
1783.464,2143.247,44,4,-359.783,20
1810.796,2128.495,45,4,-317.699,18
1937.517,2472.253,46,4,-534.736,28
1641.358,2211.237,47,4,-569.879,35
1888.983,2182.027,48,4,-293.044,16
1921.117,2389.303,49,4,-468.186,24
1963.092,2358.849,50,4,-395.757,20
1817.161,2294.768,51,4,-477.607,26
1927.909,2427.132,52,4,-499.223,26
1998.767,2372.665,53,4,-373.898,19
2063.808,2304.587,54,4,-240.779,12
2135.427,2627.256,55,4,-491.829,23
2128.754,2565.734,56,4,-436.98,21
2135.407,2493.22,57,4,-357.813,17
2220.59,2686.679,58,4,-466.089,21
2098.051,2463.391,59,4,-365.34,17
2378.603,3275.11,60,4,-896.507,38
2415.081,2982.566,61,4,-567.485,23
2363.106,2922.41,62,4,-559.304,24
2378.195,2806.099,63,4,-427.904,18
2409.422,2853.178,64,4,-443.756,18
2599.651,3163.977,65,4,-564.326,22
2544.94,3098.687,66,4,-553.747,22
2531.025,3092.364,67,4,-561.339,22
2629.856,3072.359,68,4,-442.503,17
