,,,,,SVM
348.684,467.833,5,4,-119.149,34
380.586,500.535,6,4,-119.949,32
458.67,510.472,7,4,-51.802,11
449.591,456.391,8,4,-6.8,2
512.539,617.303,9,4,-104.764,20
527.758,847.735,10,4,-319.977,61
604.649,677.664,11,4,-73.015,12
586.253,874.054,12,4,-287.801,49
645.922,734.829,13,4,-88.907,14
710.046,739.756,14,4,-29.71,4
671.403,791.595,15,4,-120.192,18
690.915,838.955,16,4,-148.04,21
814.049,1076.356,17,4,-262.307,32
742.592,851.837,18,4,-109.245,15
832.022,1047.131,19,4,-215.109,26
879.625,976.804,20,4,-97.179,11
877.403,1063.162,21,4,-185.759,21
840.996,991.153,22,4,-150.157,18
911.492,1023.805,23,4,-112.313,12
1015.767,1208.256,24,4,-192.489,19
1060.448,1324.709,25,4,-264.261,25
1049.047,1403.809,26,4,-354.762,34
1189.481,1703.987,27,4,-514.506,43
1130.95,1407.422,28,4,-276.472,24
1272.718,1624.421,29,4,-351.703,28
1335.517,1587.327,30,4,-251.81,19
1365.062,1655.516,31,4,-290.454,21
1328.375,1633.768,32,4,-305.393,23
1305.058,1758.252,33,4,-453.194,35
1333.109,1716.836,34,4,-383.727,29
1432.316,1818.053,35,4,-385.737,27
1485.499,1760.521,36,4,-275.022,19
1427.033,1816.381,37,4,-389.348,27
1572.401,1894.337,38,4,-321.936,20
1592.441,1797.403,39,4,-204.962,13
1576.781,1864.775,40,4,-287.994,18
1659.756,2046.458,41,4,-386.702,23
1647.826,1966.817,42,4,-318.991,19
1602.36,2119.85,43,4,-517.49,32
1783.464,2172.084,44,4,-388.62,22
1810.796,2126.969,45,4,-316.173,17
1937.517,2465.033,46,4,-527.516,27
1641.358,2114.737,47,4,-473.379,29
1888.983,2185.805,48,4,-296.822,16
1921.117,2317.572,49,4,-396.455,21
1963.092,2268.819,50,4,-305.727,16
1817.161,2465.123,51,4,-647.962,36
1927.909,2350.326,52,4,-422.417,22
1998.767,2344.142,53,4,-345.375,17
2063.808,2252.891,54,4,-189.083,9
2135.427,2656.05,55,4,-520.623,24
2128.754,2698.916,56,4,-570.162,27
2135.407,2500.331,57,4,-364.924,17
2220.59,2696.214,58,4,-475.624,21
2098.051,2540.985,59,4,-442.934,21
2378.603,3316.801,60,4,-938.198,39
2415.081,2802.802,61,4,-387.721,16
2363.106,3059.67,62,4,-696.564,29
2378.195,2840.503,63,4,-462.308,19
2409.422,2859.439,64,4,-450.017,19
2599.651,3361.658,65,4,-762.007,29
2544.94,3345.978,66,4,-801.038,31
2531.025,3109.818,67,4,-578.793,23
2629.856,3180.528,68,4,-550.672,21
2641.067,3089.785,69,4,-448.718,17
2535.533,3105.817,70,4,-570.284,22
2560.806,3337.631,71,4,-776.825,30
2792.834,3109.639,72,4,-316.805,11
2675.124,3191.102,73,4,-515.978,19
2604.605,2973.614,74,4,-369.009,14
2763.935,3178.871,75,4,-414.936,15
2781.148,3223.115,76,4,-441.967,16
2789.936,3336.946,77,4,-547.01,20
2792.106,3306.669,78,4,-514.563,18
2844.436,3513.047,79,4,-668.611,24
2970.641,3884.646,80,4,-914.005,31
3149.349,3557.029,81,4,-407.68,13
3040.494,3467.35,82,4,-426.856,14
3229.858,3879.647,83,4,-649.789,20
2947.495,3531.045,84,4,-583.55,20
2974.158,3702.363,85,4,-728.205,24
3131.815,3778.62,86,4,-646.805,21
3038.611,3420.722,87,4,-382.111,13
3273.319,3966.489,88,4,-693.17,21
3152.84,3500.604,89,4,-347.764,11
3457.799,4224.936,90,4,-767.137,22
3303.351,4176.472,91,4,-873.121,26
3406.853,4261.498,92,4,-854.645,25
3151.842,3779.193,93,4,-627.351,20
3309.645,3960.888,94,4,-651.243,20
3375.37,3918.193,95,4,-542.823,16
3381.283,4028.396,96,4,-647.113,19
3508.597,4425.739,97,4,-917.142,26
3729.167,4591.121,98,4,-861.954,23
3516.29,3954.36,99,4,-438.07,12
3410.75,3856.529,100,4,-445.779,13
3611.913,4279.638,101,4,-667.725,18
3666.366,4066.301,102,4,-399.935,11
3611.469,4163.865,103,4,-552.396,15
3682.717,4553.081,104,4,-870.364,24
3799.472,4562.79,105,4,-763.318,20
3892.907,4858.76,106,4,-965.853,25
3738.402,4493.71,107,4,-755.308,20
3770.399,4342.301,108,4,-571.902,15
3844.233,4591.301,109,4,-747.068,19
3809.523,4344.838,110,4,-535.315,14
3922.656,4938.07,111,4,-1015.414,26
4088.809,5151.295,112,4,-1062.486,26
4088.93,4769.161,113,4,-680.231,17
4097.02,5002.968,114,4,-905.948,22
3941.169,4722.113,115,4,-780.944,20
4178.224,4795.061,116,4,-616.837,15
4116.902,4538.642,117,4,-421.74,10
4169.957,5113.017,118,4,-943.06,23
4160.428,4914.364,119,4,-753.936,18
4330.043,4934.268,120,4,-604.225,14
4253.006,5095.126,121,4,-842.12,20
4297.837,4719.202,122,4,-421.365,10
4323.419,5155.802,123,4,-832.383,19
4557.04,5440.099,124,4,-883.059,19
4281.479,5228.147,125,4,-946.668,22
4595.857,5280.51,126,4,-684.653,15
4367.456,5266.539,127,4,-899.083,21
4535.617,5258.672,128,4,-723.055,16
4554.252,5175.03,129,4,-620.778,14
4676.152,5601.598,130,4,-925.446,20
4586.104,5424.424,131,4,-838.32,18
4732.355,5763.485,132,4,-1031.13,22
4728.938,5469.558,133,4,-740.62,16
4898.244,5702.281,134,4,-804.037,16
4758.852,5720.325,135,4,-961.473,20
4869.077,5603.543,136,4,-734.466,15
4920.417,5635.838,137,4,-715.421,15
4908.845,5750.961,138,4,-842.116,17
4968.351,5703.987,139,4,-735.636,15
4888.108,5688.922,140,4,-800.814,16
5059.775,6083.288,141,4,-1023.513,20
4971.913,5886.737,142,4,-914.824,18
4892.077,6028.766,143,4,-1136.689,23
4742.265,5525.323,144,4,-783.058,17
5083.237,6129.687,145,4,-1046.45,21
5268.442,6447.363,146,4,-1178.921,22
5166.054,6081.613,147,4,-915.559,18
5129.195,6195.248,148,4,-1066.053,21
5280.524,5838.057,149,4,-557.533,11
5259.256,5955.184,150,4,-695.928,13
5042.805,5975.637,151,4,-932.832,18
5341.495,6110.944,152,4,-769.449,14
5248.848,6050.454,153,4,-801.606,15
5270.331,5928.418,154,4,-658.087,12
5439.077,6142.845,155,4,-703.768,13
5356.269,6276.941,156,4,-920.672,17
5450.173,6655.35,157,4,-1205.177,22
5137.774,5990.733,158,4,-852.959,17
5797.777,6665.719,159,4,-867.942,15
5451.831,6209.356,160,4,-757.525,14
5533.281,7029.67,161,4,-1496.389,27
5520.597,6542.672,162,4,-1022.075,19
5470.683,6451.249,163,4,-980.566,18
5759.861,7186.559,164,4,-1426.698,25
5797.382,6960.562,165,4,-1163.18,20
5852.247,6569.876,166,4,-717.629,12
5596.391,6629.862,167,4,-1033.471,18
