Esperado,Obtenido,# Tareas,,,ANN
222.079,299.007,17,16,-76.928,35
245.524,380.525,18,16,-135.001,55
259.35,456.193,19,16,-196.843,76
259.747,447.755,20,16,-188.008,72
277.615,475.375,21,16,-197.76,71
263.885,493.077,22,16,-229.192,87
306.866,455.173,23,16,-148.307,48
282.201,372.84,24,16,-90.639,32
277.35,488.3,25,16,-210.95,76
306.621,535.128,26,16,-228.507,75
324.682,449.51,27,16,-124.828,38
333.79,502.454,28,16,-168.664,51
326.417,519.821,29,16,-193.404,59
336.585,627.26,30,16,-290.675,86
354.382,489.901,31,16,-135.519,38
372.451,578.596,32,16,-206.145,55
338.11,591.828,33,16,-253.718,75
372.324,517.456,34,16,-145.132,39
327.699,552.4,35,16,-224.701,69
411.014,593.382,36,16,-182.368,44
383.126,435.763,37,16,-52.637,14
391.374,551.285,38,16,-159.911,41
377.38,541.387,39,16,-164.007,43
363.763,568.459,40,16,-204.696,56
434.178,695.747,41,16,-261.569,60
433.312,631.083,42,16,-197.771,46
411.726,603.62,43,16,-191.894,47
423.487,663.181,44,16,-239.694,57
419.296,641.911,45,16,-222.615,53
444.329,706.542,46,16,-262.213,59
399.132,721.343,47,16,-322.211,81
429.607,634.867,48,16,-205.26,48
431.406,660.876,49,16,-229.47,53
461.591,628.761,50,16,-167.17,36
470.847,774.756,51,16,-303.909,65
500.051,759.766,52,16,-259.715,52
486.016,772.487,53,16,-286.471,59
491.805,772.2,54,16,-280.395,57
486.253,743.589,55,16,-257.336,53
457.062,686.787,56,16,-229.725,50
514.307,820.609,57,16,-306.302,60
535.272,821.927,58,16,-286.655,54
497.568,743.226,59,16,-245.658,49
523.914,818.231,60,16,-294.317,56
533.95,992.956,61,16,-459.006,86
544.013,797.782,62,16,-253.769,47
503.584,808.433,63,16,-304.849,61
517.787,840.241,64,16,-322.454,62
610.726,1042.9,65,16,-432.174,71
528.181,804.699,66,16,-276.518,52
519.187,866.822,67,16,-347.635,67
544.254,811.806,68,16,-267.552,49
571.999,871.166,69,16,-299.167,52
572.631,848.02,70,16,-275.389,48
576.249,967.956,71,16,-391.707,68
591.495,1034.623,72,16,-443.128,75
593.794,1063.483,73,16,-469.689,79
581.483,993.881,74,16,-412.398,71
570.608,959.587,75,16,-388.979,68
571.294,983.183,76,16,-411.889,72
644.147,1061.717,77,16,-417.57,65
624.119,1157.041,78,16,-532.922,85
637.372,997.634,79,16,-360.262,57
617.892,1011.517,80,16,-393.625,64
582.489,847.973,81,16,-265.484,46
649.285,1237.719,82,16,-588.434,91
619.063,934.527,83,16,-315.464,51
637.763,1181.365,84,16,-543.602,85
706.102,1205.887,85,16,-499.785,71
694.64,1213.622,86,16,-518.982,75
608.541,966.476,87,16,-357.935,59
649.819,1106.358,88,16,-456.539,70
685.822,964.083,89,16,-278.261,41
660.603,1047.286,90,16,-386.683,59
685.149,1105.49,91,16,-420.341,61
695.979,1082.987,92,16,-387.008,56
646.332,923.768,93,16,-277.436,43
733.789,1076.019,94,16,-342.23,47
686.239,969.777,95,16,-283.538,41
667.988,1150.283,96,16,-482.295,72
656.546,993.255,97,16,-336.709,51
715.422,1096.42,98,16,-380.998,53
696.88,1195.099,99,16,-498.219,71
695.403,1175.961,100,16,-480.558,69
690.64,1071.004,101,16,-380.364,55
713.366,1177.859,102,16,-464.493,65
745.433,1087.557,103,16,-342.124,46
699.577,1252.012,104,16,-552.435,79
737.752,1101.066,105,16,-363.314,49
732.405,1152.75,106,16,-420.345,57
754.187,1170.918,107,16,-416.731,55
750.143,1223.734,108,16,-473.591,63
738.59,1156.843,109,16,-418.253,57
763.308,1247.882,110,16,-484.574,63
785.871,1120.745,111,16,-334.874,43
754.53,1252.413,112,16,-497.883,66
854.755,1242.255,113,16,-387.5,45
791.137,1274.889,114,16,-483.752,61
793.567,1179.101,115,16,-385.534,49
768.514,1320.831,116,16,-552.317,72
760.209,1356.487,117,16,-596.278,78
821.083,1327.89,118,16,-506.807,62
839.39,1392.6,119,16,-553.21,66
803.859,1287.346,120,16,-483.487,60
833.892,1274.689,121,16,-440.797,53
797.042,1174.107,122,16,-377.065,47
826.642,1253.39,123,16,-426.748,52
862.094,1307.613,124,16,-445.519,52
828.282,1253.331,125,16,-425.049,51
839.627,1398.566,126,16,-558.939,67
820.629,1239.278,127,16,-418.649,51
841.629,1591.106,128,16,-749.477,89
819.053,1598.981,129,16,-779.928,95
875.971,1397.848,130,16,-521.877,60
825.836,1166.6,131,16,-340.764,41
890.587,1336.085,132,16,-445.498,50
864.199,1243.307,133,16,-379.108,44
904.394,1526.282,134,16,-621.888,69
888.971,1719.194,135,16,-830.223,93
880.293,1376.154,136,16,-495.861,56
930.031,1272.157,137,16,-342.126,37
899.793,1532.582,138,16,-632.789,70
880.774,1234.229,139,16,-353.455,40
926.801,1525.682,140,16,-598.881,65
920.13,1277.937,141,16,-357.807,39
927.101,1736.81,142,16,-809.709,87
969.25,1584.56,143,16,-615.31,63
931.203,1414.907,144,16,-483.704,52
950.682,1387.559,145,16,-436.877,46
947.996,1591.991,146,16,-643.995,68
968.722,1566.058,147,16,-597.336,62
946.075,1489.67,148,16,-543.595,57
981.887,1402.607,149,16,-420.72,43
990.06,1600.324,150,16,-610.264,62
959.314,1515.558,151,16,-556.244,58
994.789,1440.005,152,16,-445.216,45
959.836,1264.479,153,16,-304.643,32
982.283,1564.03,154,16,-581.747,59
1003.581,1366.19,155,16,-362.609,36
1020.7,1512.276,156,16,-491.576,48
1020.341,1349.065,157,16,-328.724,32
992.427,1382.178,158,16,-389.751,39
1049.92,1649.339,159,16,-599.419,57
1016.366,1739.999,160,16,-723.633,71
1007.578,1736.568,161,16,-728.99,72
1030.738,1529.525,162,16,-498.787,48
1056.087,1633.871,163,16,-577.784,55
1062.967,1801.61,164,16,-738.643,69
1039.666,1813.488,165,16,-773.822,74
1042.287,1707.703,166,16,-665.416,64
1060.329,1794.444,167,16,-734.115,69
1069.058,1799.917,168,16,-730.859,68
1077.2,1532.222,169,16,-455.022,42
1044.007,1720.847,170,16,-676.84,65
1052.115,1602.448,171,16,-550.333,52
