,,# Tareas,,,SVM
222.079,285.882,17,16,-63.803,29
245.524,420.825,18,16,-175.301,71
259.35,419.902,19,16,-160.552,62
259.747,419.643,20,16,-159.896,62
277.615,488.761,21,16,-211.146,76
263.885,558.914,22,16,-295.029,112
306.866,451.518,23,16,-144.652,47
282.201,339.604,24,16,-57.403,20
277.35,426.514,25,16,-149.164,54
306.621,530.374,26,16,-223.753,73
324.682,497.113,27,16,-172.431,53
333.79,496.526,28,16,-162.736,49
326.417,447.2,29,16,-120.783,37
336.585,538.827,30,16,-202.242,60
354.382,464.226,31,16,-109.844,31
372.451,509.05,32,16,-136.599,37
338.11,464.485,33,16,-126.375,37
372.324,598.133,34,16,-225.809,61
327.699,457.47,35,16,-129.771,40
411.014,672.431,36,16,-261.417,64
383.126,489.109,37,16,-105.983,28
391.374,583.49,38,16,-192.116,49
377.38,566.339,39,16,-188.959,50
363.763,497.32,40,16,-133.557,37
434.178,595.052,41,16,-160.874,37
433.312,513.341,42,16,-80.029,18
411.726,640.197,43,16,-228.471,55
423.487,565.812,44,16,-142.325,34
419.296,532.245,45,16,-112.949,27
444.329,612.423,46,16,-168.094,38
399.132,737.278,47,16,-338.146,85
429.607,638.801,48,16,-209.194,49
431.406,640.079,49,16,-208.673,48
461.591,559.321,50,16,-97.73,21
470.847,613.796,51,16,-142.949,30
500.051,756.822,52,16,-256.771,51
486.016,756.986,53,16,-270.97,56
491.805,856.091,54,16,-364.286,74
486.253,646.176,55,16,-159.923,33
457.062,660.276,56,16,-203.214,44
514.307,737.89,57,16,-223.583,43
535.272,769.784,58,16,-234.512,44
497.568,631.493,59,16,-133.925,27
523.914,753.721,60,16,-229.807,44
533.95,814.461,61,16,-280.511,53
544.013,839.549,62,16,-295.536,54
503.584,798.257,63,16,-294.673,59
517.787,652.801,64,16,-135.014,26
610.726,757.747,65,16,-147.021,24
528.181,787.263,66,16,-259.082,49
519.187,751.36,67,16,-232.173,45
544.254,746.293,68,16,-202.039,37
571.999,832.054,69,16,-260.055,45
572.631,790.303,70,16,-217.672,38
576.249,855.959,71,16,-279.71,49
591.495,918.226,72,16,-326.731,55
593.794,954.779,73,16,-360.985,61
581.483,874.617,74,16,-293.134,50
570.608,820.958,75,16,-250.35,44
571.294,984.487,76,16,-413.193,72
644.147,867.789,77,16,-223.642,35
624.119,981.098,78,16,-356.979,57
637.372,979.772,79,16,-342.4,54
617.892,906.293,80,16,-288.401,47
582.489,804.093,81,16,-221.604,38
649.285,1151.991,82,16,-502.706,77
619.063,914.304,83,16,-295.241,48
637.763,972.035,84,16,-334.272,52
706.102,1025.051,85,16,-318.949,45
694.64,1042.123,86,16,-347.483,50
608.541,833.663,87,16,-225.122,37
649.819,896.771,88,16,-246.952,38
685.822,933.321,89,16,-247.499,36
660.603,981.659,90,16,-321.056,49
685.149,938.642,91,16,-253.493,37
695.979,1023.103,92,16,-327.124,47
646.332,863.427,93,16,-217.095,34
733.789,1005.698,94,16,-271.909,37
686.239,918.662,95,16,-232.423,34
667.988,1041.969,96,16,-373.981,56
656.546,925.61,97,16,-269.064,41
715.422,1166.345,98,16,-450.923,63
696.88,1068.552,99,16,-371.672,53
695.403,1185.092,100,16,-489.689,70
690.64,1028.525,101,16,-337.885,49
713.366,1016.065,102,16,-302.699,42
745.433,1110.555,103,16,-365.122,49
699.577,1091.881,104,16,-392.304,56
737.752,1098.633,105,16,-360.881,49
732.405,957.708,106,16,-225.303,31
754.187,1024.4,107,16,-270.213,36
750.143,1186.52,108,16,-436.377,58
738.59,1008.834,109,16,-270.244,37
763.308,1014.201,110,16,-250.893,33
785.871,1009.484,111,16,-223.613,28
754.53,1182.504,112,16,-427.974,57
854.755,1112.707,113,16,-257.952,30
791.137,1182.301,114,16,-391.164,49
793.567,1120.538,115,16,-326.971,41
768.514,1150.251,116,16,-381.737,50
760.209,1136.866,117,16,-376.657,50
821.083,1185.077,118,16,-363.994,44
839.39,1221.536,119,16,-382.146,46
803.859,1299.228,120,16,-495.369,62
833.892,1244.937,121,16,-411.045,49
797.042,1096.789,122,16,-299.747,38
826.642,1151.007,123,16,-324.365,39
862.094,1197.322,124,16,-335.228,39
828.282,1173.446,125,16,-345.164,42
839.627,1151.005,126,16,-311.378,37
820.629,1255.812,127,16,-435.183,53
841.629,1131.526,128,16,-289.897,34
819.053,1179.235,129,16,-360.182,44
875.971,1293.208,130,16,-417.237,48
825.836,1178.372,131,16,-352.536,43
890.587,1166.836,132,16,-276.249,31
864.199,1207.104,133,16,-342.905,40
904.394,1329.761,134,16,-425.367,47
888.971,1420.378,135,16,-531.407,60
880.293,1150.189,136,16,-269.896,31
930.031,1241.408,137,16,-311.377,33
899.793,1255.161,138,16,-355.368,39
880.774,1206.559,139,16,-325.785,37
926.801,1233.774,140,16,-306.973,33
920.13,1260.934,141,16,-340.804,37
927.101,1425.039,142,16,-497.938,54
969.25,1263.94,143,16,-294.69,30
931.203,1378.527,144,16,-447.324,48
950.682,1500.095,145,16,-549.413,58
947.996,1586.128,146,16,-638.132,67
968.722,1357.492,147,16,-388.77,40
