esperado,obtenido,accuracy,tareas,maquinas
222.079,334.974,0.6,17,16
245.524,476.284,0.5875,18,16
259.35,415.538,0.525,19,16
259.747,384.046,0.58125,20,16
277.615,503.386,0.51875,21,16
263.885,417.014,0.55625,22,16
306.866,501.203,0.5125,23,16
282.201,407.587,0.56875,24,16
277.35,476.781,0.60625,25,16
306.621,500.425,0.60625,26,16
324.682,430.189,0.5875,27,16
333.79,539.883,0.64375,28,16
326.417,488.116,0.575,29,16
336.585,574.613,0.60625,30,16
354.382,457.009,0.6625,31,16
372.451,608.676,0.51875,32,16
338.11,506.303,0.5875,33,16
372.324,510.682,0.66875,34,16
327.699,471.904,0.63125,35,16
411.014,586.653,0.5875,36,16
383.126,588.876,0.5875,37,16
391.374,732.212,0.58125,38,16
377.38,537.213,0.6375,39,16
363.763,621.104,0.6,40,16
434.178,689.23,0.59375,41,16
433.312,598.667,0.59375,42,16
411.726,596.976,0.59375,43,16
423.487,594.955,0.61875,44,16
419.296,649.29,0.66875,45,16
444.329,751.21,0.55625,46,16
399.132,599.169,0.6125,47,16
429.607,626.012,0.5875,48,16
431.406,646.946,0.60625,49,16
461.591,747.933,0.69375,50,16
470.847,762.778,0.55625,51,16
500.051,847.669,0.59375,52,16
486.016,898.874,0.59375,53,16
491.805,1012.724,0.6625,54,16
486.253,752.621,0.575,55,16
457.062,765.324,0.66875,56,16
514.307,716.983,0.55625,57,16
535.272,889.621,0.70625,58,16
497.568,854.597,0.6875,59,16
523.914,782.637,0.60625,60,16
533.95,901.117,0.59375,61,16
544.013,918.985,0.58125,62,16
503.584,940.15,0.61875,63,16
517.787,762.554,0.6875,64,16
610.726,1001.925,0.66875,65,16
528.181,886.124,0.575,66,16
519.187,817.192,0.64375,67,16
544.254,782.985,0.7125,68,16
571.999,995.902,0.6125,69,16
572.631,951.197,0.68125,70,16
576.249,963.026,0.63125,71,16
591.495,1143.893,0.625,72,16
593.794,1079.415,0.7,73,16
581.483,1057.234,0.64375,74,16
570.608,960.926,0.69375,75,16
571.294,1057.944,0.6,76,16
644.147,1021.66,0.60625,77,16
624.119,1062.25,0.63125,78,16
637.372,1014.739,0.6625,79,16
617.892,1058.46,0.6875,80,16
582.489,967.311,0.66875,81,16
649.285,1124.509,0.6125,82,16
619.063,918.084,0.65625,83,16
637.763,1213.878,0.6,84,16
706.102,1164.935,0.66875,85,16
694.64,1056.601,0.575,86,16
608.541,899.722,0.65,87,16
649.819,1092.506,0.6375,88,16
685.822,1052.389,0.58125,89,16
660.603,1206.173,0.59375,90,16
685.149,1177.253,0.65,91,16
695.979,1103.258,0.60625,92,16
646.332,965.802,0.70625,93,16
733.789,1071.972,0.675,94,16
686.239,1087.962,0.6375,95,16
667.988,1228.671,0.675,96,16
656.546,961.381,0.65,97,16
715.422,1166.703,0.6,98,16
696.88,1198.031,0.7,99,16
695.403,1069.083,0.7,100,16
690.64,1123.485,0.6875,101,16
713.366,1247.948,0.6625,102,16
745.433,1088.405,0.6875,103,16
699.577,1155.213,0.69375,104,16
737.752,1239.001,0.65,105,16
732.405,1114.196,0.6375,106,16
754.187,1231.882,0.65625,107,16
750.143,1225.426,0.66875,108,16
738.59,1355.092,0.65,109,16
763.308,1285.375,0.69375,110,16
785.871,1168.972,0.64375,111,16
754.53,1246.905,0.65,112,16
854.755,1350.097,0.625,113,16
791.137,1257.496,0.61875,114,16
793.567,1362.264,0.68125,115,16
768.514,1577.47,0.6375,116,16
760.209,1121.338,0.65625,117,16
821.083,1360.146,0.5625,118,16
839.39,1337.909,0.64375,119,16
803.859,1158.037,0.6625,120,16
833.892,1395.65,0.65625,121,16
797.042,1228.243,0.63125,122,16
826.642,1259.932,0.6375,123,16
862.094,1516.654,0.65,124,16
828.282,1333.442,0.675,125,16
839.627,1375.259,0.68125,126,16
820.629,1296.734,0.675,127,16
841.629,1567.231,0.6875,128,16
819.053,1395.864,0.60625,129,16
875.971,1478.218,0.69375,130,16
825.836,1403.048,0.66875,131,16
890.587,1494.751,0.65625,132,16
864.199,1383.642,0.7125,133,16
904.394,1305.383,0.675,134,16
888.971,1462.135,0.56875,135,16
880.293,1362.66,0.675,136,16
930.031,1379.452,0.5875,137,16
899.793,1320.918,0.6625,138,16
880.774,1475.672,0.7,139,16
926.801,1437.32,0.66875,140,16
920.13,1545.806,0.68125,141,16
927.101,1478.429,0.71875,142,16
969.25,1460.425,0.725,143,16
931.203,1499.864,0.65625,144,16
950.682,1502.132,0.6125,145,16
947.996,1807.645,0.64375,146,16
968.722,1505.22,0.6875,147,16
946.075,1572.818,0.64375,148,16
981.887,1438.523,0.58125,149,16
990.06,1598.773,0.625,150,16
959.314,1734.127,0.6,151,16
994.789,1507.185,0.63125,152,16
959.836,1492.15,0.69375,153,16
982.283,1886.056,0.6375,154,16
1003.581,1458.727,0.61875,155,16
1020.7,1572.221,0.6625,156,16
1020.341,1503.72,0.69375,157,16
992.427,1498.103,0.69375,158,16
1049.92,1774.241,0.7,159,16
1016.366,1758.535,0.73125,160,16
1007.578,1708.961,0.7,161,16
1030.738,1580.044,0.69375,162,16
1056.087,1615.476,0.725,163,16
1062.967,1809.685,0.6125,164,16
1039.666,1748.799,0.65625,165,16
1042.287,1677.271,0.66875,166,16
1060.329,1718.834,0.6625,167,16
1069.058,1749.064,0.65625,168,16
1077.2,1702.404,0.6375,169,16
1044.007,1896.337,0.6875,170,16
1052.115,1668.063,0.66875,171,16
1143.044,1872.475,0.575,172,16
1075.912,1671.444,0.65625,173,16
1108.93,2030.844,0.7125,174,16
1093.512,1747.95,0.70625,175,16
1080.37,1804.954,0.68125,176,16
1051.944,1667.963,0.6875,177,16
1120.999,1817.343,0.64375,178,16
1103.097,1632.038,0.69375,179,16
1118.778,1733.473,0.6125,180,16
1091.171,1925.662,0.65,181,16
1166.823,1803.782,0.63125,182,16
1127.263,1890.311,0.63125,183,16
1118.748,1702.018,0.7125,184,16
1142.864,1878.257,0.63125,185,16
1162.688,1857.244,0.7,186,16
1156.065,1891.849,0.68125,187,16
1159.006,1973.198,0.6875,188,16
1155.565,2058.264,0.69375,189,16
1166.532,1746.527,0.65,190,16
1183.843,2058.042,0.7125,191,16
1183.792,2008.825,0.56875,192,16
1198.202,1885.698,0.61875,193,16
1179.848,1833.68,0.6875,194,16
1169.357,1910.847,0.7125,195,16
1159.709,1912.406,0.6375,196,16
1147.035,2062.826,0.7,197,16
1197.298,1982.675,0.625,198,16
1214.971,2369.865,0.6,199,16
1203.202,1871.158,0.6625,200,16
1239.755,2023.613,0.61875,201,16
1264.866,2086.264,0.65625,202,16
1224.16,1961.903,0.6875,203,16
1261.291,1880.711,0.68125,204,16
1231.166,2028.389,0.7,205,16
1261.184,2251.602,0.61875,206,16
1266.901,2063.1,0.65,207,16
1276.755,2048.748,0.675,208,16
1224.969,2037.41,0.6375,209,16
1280.489,1948.688,0.68125,210,16
1321.162,2009.935,0.59375,211,16
1304.008,2026.304,0.65625,212,16
1311.121,2332.97,0.6375,213,16
1299.989,1859.892,0.675,214,16
1325.685,2208.583,0.64375,215,16
1251.699,2085.887,0.7125,216,16
1348.309,2097.212,0.69375,217,16
1326.793,2050.584,0.675,218,16
1352.439,2116.788,0.6875,219,16
1322.208,2258.02,0.68125,220,16
1306.812,2014.264,0.65,221,16
1307.519,1818.171,0.7,222,16
1316.517,2086.043,0.7,223,16
1303.81,2015.027,0.68125,224,16
1343.464,2072.352,0.68125,225,16
1393.173,1996.21,0.5875,226,16
1378.759,2361.189,0.73125,227,16
1383.85,2171.963,0.675,228,16
1358.085,2145.144,0.75,229,16
1354.918,2319.164,0.66875,230,16
1314.711,2076.107,0.6625,231,16
1330.758,2202.218,0.59375,232,16
1378.569,2518.633,0.63125,233,16
1335.91,2076.683,0.675,234,16
1416.742,2282.358,0.68125,235,16
1380.255,2106.22,0.70625,236,16
1405.414,2384.122,0.6625,237,16
1446.578,2352.158,0.6875,238,16
1381.558,2520.905,0.6625,239,16
1406.47,2265.924,0.68125,240,16
1402.312,2546.929,0.675,241,16
1388.169,2086.261,0.68125,242,16
1436.98,2324.614,0.6625,243,16
1414.705,2217.697,0.68125,244,16
1476.562,2368.798,0.6875,245,16
1439.861,2305.961,0.65,246,16
1420.032,2551.501,0.66875,247,16
1349.547,2347.004,0.65,248,16
1443.537,2397.556,0.6875,249,16
1456.407,2098.937,0.68125,250,16
1441.086,2402.458,0.7375,251,16
1457.213,2221.719,0.5875,252,16
1449.774,2079.328,0.64375,253,16
1452.366,2394.341,0.675,254,16
1505.206,2558.535,0.65625,255,16
1517.968,2391.247,0.73125,256,16
1513.086,2693.81,0.7125,257,16
1508.246,2510.92,0.6625,258,16
1481.804,2143.806,0.6875,259,16
1479.796,2401.3,0.7,260,16
1538.889,2350.871,0.71875,261,16
1535.021,2457.48,0.69375,262,16
1509.047,2416.005,0.64375,263,16
1497.934,2195.002,0.66875,264,16
1496.633,2422.233,0.70625,265,16
1572.628,2857.26,0.6625,266,16
1561.777,2713.259,0.7125,267,16
1533.957,2184.409,0.64375,268,16
1565.944,2482.132,0.63125,269,16
1526.121,2444.036,0.73125,270,16
1541.258,2477.444,0.6625,271,16
1554.71,2441.6,0.675,272,16
1594.3,2490.987,0.59375,273,16
1514.748,2587.064,0.675,274,16
1612.29,2567.602,0.64375,275,16
1592.332,2508.377,0.6875,276,16
1626.101,2839.226,0.625,277,16
1585.794,2509.585,0.6125,278,16
1588.116,2520.246,0.6625,279,16
1552.611,2356.823,0.71875,280,16
1584.132,2469.664,0.6625,281,16
1616.445,2488.297,0.68125,282,16
1586.472,2694.13,0.6375,283,16
1690.106,2782.961,0.725,284,16
1595.678,2591.441,0.65,285,16
1691.771,2854.659,0.65625,286,16
1624.084,2608.797,0.60625,287,16
1667.908,2708.805,0.7,288,16
1670.368,2841.728,0.73125,289,16
1692.308,2679.336,0.675,290,16
1689.114,2979.561,0.66875,291,16
1644.866,2589.97,0.68125,292,16
1726.223,2846.312,0.68125,293,16
1723.997,2824.351,0.6625,294,16
1710.557,2709.445,0.75,295,16
1683.763,2535.754,0.59375,296,16
1678.665,2602.25,0.60625,297,16
1735.911,3143.092,0.6125,298,16
1686.052,2774.263,0.6375,299,16
1667.513,2495.576,0.7375,300,16
1721.563,2884.766,0.70625,301,16
1747.232,3157.513,0.74375,302,16
1723.364,2869.005,0.63125,303,16
1672.14,2544.659,0.71875,304,16
1736.445,2749.441,0.7125,305,16
1762.091,2828.981,0.64375,306,16
1776.605,3048.613,0.65625,307,16
1739.087,2575.198,0.69375,308,16
1763.291,2742.5,0.73125,309,16
1722.684,2528.474,0.61875,310,16
1712.007,2568.65,0.68125,311,16
1786.018,2490.79,0.69375,312,16
1751.382,2596.057,0.625,313,16
1830.963,2967.769,0.66875,314,16
1767.288,2661.16,0.63125,315,16
