esperado,obtenido,accuracy,tareas,maquinas
222.079,299.007,0.59375,17,16
245.524,380.525,0.5875,18,16
259.35,456.193,0.50625,19,16
259.747,447.755,0.55,20,16
277.615,475.375,0.50625,21,16
263.885,493.077,0.575,22,16
306.866,455.173,0.48125,23,16
282.201,372.84,0.575,24,16
277.35,488.3,0.5875,25,16
306.621,535.128,0.58125,26,16
324.682,449.51,0.56875,27,16
333.79,502.454,0.6125,28,16
326.417,519.821,0.5625,29,16
336.585,627.26,0.6125,30,16
354.382,489.901,0.675,31,16
372.451,578.596,0.5125,32,16
338.11,591.828,0.575,33,16
372.324,517.456,0.65,34,16
327.699,552.4,0.6,35,16
411.014,593.382,0.5625,36,16
383.126,435.763,0.5875,37,16
391.374,551.285,0.58125,38,16
377.38,541.387,0.625,39,16
363.763,568.459,0.59375,40,16
434.178,695.747,0.60625,41,16
433.312,631.083,0.61875,42,16
411.726,603.62,0.58125,43,16
423.487,663.181,0.6,44,16
419.296,641.911,0.65625,45,16
444.329,706.542,0.575,46,16
399.132,721.343,0.60625,47,16
429.607,634.867,0.60625,48,16
431.406,660.876,0.6375,49,16
461.591,628.761,0.675,50,16
470.847,774.756,0.58125,51,16
500.051,759.766,0.58125,52,16
486.016,772.487,0.59375,53,16
491.805,772.2,0.6625,54,16
486.253,743.589,0.5875,55,16
457.062,686.787,0.6625,56,16
514.307,820.609,0.59375,57,16
535.272,821.927,0.64375,58,16
497.568,743.226,0.675,59,16
523.914,818.231,0.59375,60,16
533.95,992.956,0.60625,61,16
544.013,797.782,0.5875,62,16
503.584,808.433,0.6375,63,16
517.787,840.241,0.70625,64,16
610.726,1042.9,0.63125,65,16
528.181,804.699,0.6,66,16
519.187,866.822,0.63125,67,16
544.254,811.806,0.70625,68,16
571.999,871.166,0.60625,69,16
572.631,848.02,0.6625,70,16
576.249,967.956,0.6125,71,16
591.495,1034.623,0.64375,72,16
593.794,1063.483,0.65,73,16
581.483,993.881,0.63125,74,16
570.608,959.587,0.65,75,16
571.294,983.183,0.6125,76,16
644.147,1061.717,0.625,77,16
624.119,1157.041,0.60625,78,16
637.372,997.634,0.66875,79,16
617.892,1011.517,0.69375,80,16
582.489,847.973,0.675,81,16
649.285,1237.719,0.6125,82,16
619.063,934.527,0.66875,83,16
637.763,1181.365,0.6125,84,16
706.102,1205.887,0.64375,85,16
694.64,1213.622,0.6,86,16
608.541,966.476,0.675,87,16
649.819,1106.358,0.6625,88,16
685.822,964.083,0.58125,89,16
660.603,1047.286,0.6,90,16
685.149,1105.49,0.65,91,16
695.979,1082.987,0.60625,92,16
646.332,923.768,0.70625,93,16
733.789,1076.019,0.675,94,16
686.239,969.777,0.65625,95,16
667.988,1150.283,0.6875,96,16
656.546,993.255,0.625,97,16
715.422,1096.42,0.6375,98,16
696.88,1195.099,0.6875,99,16
695.403,1175.961,0.73125,100,16
690.64,1071.004,0.6625,101,16
713.366,1177.859,0.65,102,16
745.433,1087.557,0.6875,103,16
699.577,1252.012,0.7125,104,16
737.752,1101.066,0.68125,105,16
732.405,1152.75,0.6625,106,16
754.187,1170.918,0.6625,107,16
750.143,1223.734,0.625,108,16
738.59,1156.843,0.61875,109,16
763.308,1247.882,0.7,110,16
785.871,1120.745,0.675,111,16
754.53,1252.413,0.63125,112,16
854.755,1242.255,0.6125,113,16
791.137,1274.889,0.64375,114,16
793.567,1179.101,0.66875,115,16
768.514,1320.831,0.69375,116,16
760.209,1356.487,0.6375,117,16
821.083,1327.89,0.5125,118,16
839.39,1392.6,0.6625,119,16
803.859,1287.346,0.70625,120,16
833.892,1274.689,0.6625,121,16
797.042,1174.107,0.625,122,16
826.642,1253.39,0.69375,123,16
862.094,1307.613,0.675,124,16
828.282,1253.331,0.64375,125,16
839.627,1398.566,0.66875,126,16
820.629,1239.278,0.68125,127,16
841.629,1591.106,0.69375,128,16
819.053,1598.981,0.65,129,16
875.971,1397.848,0.69375,130,16
825.836,1166.6,0.63125,131,16
890.587,1336.085,0.625,132,16
864.199,1243.307,0.71875,133,16
904.394,1526.282,0.75,134,16
888.971,1719.194,0.6,135,16
880.293,1376.154,0.675,136,16
930.031,1272.157,0.6,137,16
899.793,1532.582,0.69375,138,16
880.774,1234.229,0.73125,139,16
926.801,1525.682,0.65,140,16
920.13,1277.937,0.66875,141,16
927.101,1736.81,0.71875,142,16
969.25,1584.56,0.71875,143,16
931.203,1414.907,0.69375,144,16
950.682,1387.559,0.65,145,16
947.996,1591.991,0.6875,146,16
968.722,1566.058,0.725,147,16
946.075,1489.67,0.65,148,16
981.887,1402.607,0.6,149,16
990.06,1600.324,0.61875,150,16
959.314,1515.558,0.5875,151,16
994.789,1440.005,0.65625,152,16
959.836,1264.479,0.6375,153,16
982.283,1564.03,0.66875,154,16
1003.581,1366.19,0.60625,155,16
1020.7,1512.276,0.6,156,16
1020.341,1349.065,0.7125,157,16
992.427,1382.178,0.725,158,16
1049.92,1649.339,0.69375,159,16
1016.366,1739.999,0.75,160,16
1007.578,1736.568,0.7,161,16
1030.738,1529.525,0.66875,162,16
1056.087,1633.871,0.71875,163,16
1062.967,1801.61,0.63125,164,16
1039.666,1813.488,0.6875,165,16
1042.287,1707.703,0.68125,166,16
1060.329,1794.444,0.7,167,16
1069.058,1799.917,0.66875,168,16
1077.2,1532.222,0.65,169,16
1044.007,1720.847,0.6875,170,16
1052.115,1602.448,0.7125,171,16
1143.044,1844.057,0.625,172,16
1075.912,1733.544,0.66875,173,16
1108.93,1682.978,0.69375,174,16
1093.512,1712.048,0.7125,175,16
1080.37,1694.647,0.7375,176,16
1051.944,1561.145,0.70625,177,16
1120.999,1690.032,0.65625,178,16
1103.097,1566.257,0.70625,179,16
1118.778,1800.468,0.6125,180,16
1091.171,1851.384,0.7,181,16
1166.823,1760.666,0.65625,182,16
1127.263,1706.838,0.61875,183,16
1118.748,1721.327,0.70625,184,16
1142.864,1930.052,0.65,185,16
1162.688,1849.534,0.69375,186,16
1156.065,1779.715,0.69375,187,16
1159.006,1906.473,0.6875,188,16
1155.565,1829.813,0.7,189,16
1166.532,1739.777,0.65625,190,16
1183.843,1958.184,0.725,191,16
1183.792,2066.16,0.6125,192,16
1198.202,1990.973,0.65625,193,16
1179.848,1658.821,0.68125,194,16
1169.357,1684.084,0.70625,195,16
1159.709,1840.777,0.69375,196,16
1147.035,1549.686,0.73125,197,16
1197.298,1792.736,0.64375,198,16
1214.971,1929.523,0.60625,199,16
1203.202,1781.111,0.68125,200,16
1239.755,1782.14,0.63125,201,16
1264.866,1848.818,0.675,202,16
1224.16,1722.149,0.7,203,16
1261.291,1951.575,0.6875,204,16
1231.166,1892.566,0.69375,205,16
1261.184,2055.478,0.6375,206,16
1266.901,2056.05,0.6625,207,16
1276.755,1981.749,0.7,208,16
1224.969,1863.552,0.69375,209,16
1280.489,2075.871,0.66875,210,16
1321.162,1949.684,0.625,211,16
1304.008,1888.545,0.69375,212,16
1311.121,2186.947,0.65625,213,16
1299.989,1721.181,0.7125,214,16
1325.685,2240.495,0.69375,215,16
1251.699,1832.36,0.69375,216,16
1348.309,1919.76,0.69375,217,16
1326.793,2102.57,0.66875,218,16
1352.439,2054.861,0.7125,219,16
1322.208,1829.374,0.675,220,16
1306.812,1877.788,0.63125,221,16
1307.519,1864.128,0.675,222,16
1316.517,2035.82,0.69375,223,16
1303.81,1856.12,0.70625,224,16
1343.464,1995.85,0.6875,225,16
1393.173,1920.032,0.625,226,16
1378.759,2146.508,0.75625,227,16
1383.85,2088.233,0.71875,228,16
1358.085,2106.287,0.76875,229,16
1354.918,2173.355,0.70625,230,16
1314.711,1945.229,0.6625,231,16
1330.758,2049.171,0.64375,232,16
1378.569,2528.14,0.6625,233,16
1335.91,2244.331,0.675,234,16
1416.742,1966.461,0.7125,235,16
1380.255,2074.084,0.71875,236,16
1405.414,1954.481,0.675,237,16
1446.578,2286.088,0.725,238,16
1381.558,2104.956,0.675,239,16
1406.47,1924.912,0.725,240,16
1402.312,2168.382,0.71875,241,16
1388.169,2167.942,0.6625,242,16
1436.98,2127.395,0.675,243,16
1414.705,2258.066,0.7,244,16
1476.562,2385.202,0.725,245,16
1439.861,1909.981,0.6875,246,16
1420.032,1959.696,0.7125,247,16
1349.547,2002.823,0.675,248,16
1443.537,2006.604,0.69375,249,16
1456.407,1985.165,0.69375,250,16
1441.086,2179.342,0.7125,251,16
1457.213,2060.271,0.61875,252,16
1449.774,1954.323,0.675,253,16
1452.366,2346.683,0.73125,254,16
1505.206,2251.669,0.64375,255,16
1517.968,2305.23,0.7125,256,16
1513.086,2342.472,0.7,257,16
1508.246,2133.404,0.6875,258,16
1481.804,2175.589,0.71875,259,16
1479.796,2017.77,0.725,260,16
1538.889,2218.778,0.7,261,16
1535.021,2087.968,0.7125,262,16
1509.047,2315.284,0.6375,263,16
1497.934,2268.494,0.6625,264,16
1496.633,2120.476,0.725,265,16
1572.628,2416.595,0.675,266,16
1561.777,2440.609,0.725,267,16
1533.957,2042.342,0.68125,268,16
1565.944,2248.389,0.64375,269,16
1526.121,2309.694,0.775,270,16
1541.258,2459.445,0.7,271,16
1554.71,2454.869,0.725,272,16
1594.3,2253.074,0.64375,273,16
1514.748,2444.148,0.66875,274,16
1612.29,2275.964,0.65,275,16
