esperado,obtenido,accuracy,tareas,maquinas
222.079,285.882,0.65,17,16
245.524,420.825,0.625,18,16
259.35,419.902,0.53125,19,16
259.747,419.643,0.65,20,16
277.615,488.761,0.5125,21,16
263.885,558.914,0.6,22,16
306.866,451.518,0.525,23,16
282.201,339.604,0.59375,24,16
277.35,426.514,0.65625,25,16
306.621,530.374,0.61875,26,16
324.682,497.113,0.60625,27,16
333.79,496.526,0.64375,28,16
326.417,447.2,0.59375,29,16
336.585,538.827,0.675,30,16
354.382,464.226,0.68125,31,16
372.451,509.05,0.59375,32,16
338.11,464.485,0.5875,33,16
372.324,598.133,0.68125,34,16
327.699,457.47,0.63125,35,16
411.014,672.431,0.61875,36,16
383.126,489.109,0.63125,37,16
391.374,583.49,0.64375,38,16
377.38,566.339,0.65625,39,16
363.763,497.32,0.6,40,16
434.178,595.052,0.625,41,16
433.312,513.341,0.6625,42,16
411.726,640.197,0.625,43,16
423.487,565.812,0.65,44,16
419.296,532.245,0.68125,45,16
444.329,612.423,0.58125,46,16
399.132,737.278,0.64375,47,16
429.607,638.801,0.59375,48,16
431.406,640.079,0.675,49,16
461.591,559.321,0.70625,50,16
470.847,613.796,0.58125,51,16
500.051,756.822,0.59375,52,16
486.016,756.986,0.6125,53,16
491.805,856.091,0.65625,54,16
486.253,646.176,0.56875,55,16
457.062,660.276,0.66875,56,16
514.307,737.89,0.6125,57,16
535.272,769.784,0.675,58,16
497.568,631.493,0.66875,59,16
523.914,753.721,0.6125,60,16
533.95,814.461,0.66875,61,16
544.013,839.549,0.6375,62,16
503.584,798.257,0.625,63,16
517.787,652.801,0.68125,64,16
610.726,757.747,0.65625,65,16
528.181,787.263,0.60625,66,16
519.187,751.36,0.66875,67,16
544.254,746.293,0.69375,68,16
571.999,832.054,0.6125,69,16
572.631,790.303,0.66875,70,16
576.249,855.959,0.6125,71,16
591.495,918.226,0.60625,72,16
593.794,954.779,0.675,73,16
581.483,874.617,0.68125,74,16
570.608,820.958,0.6375,75,16
571.294,984.487,0.625,76,16
644.147,867.789,0.6625,77,16
624.119,981.098,0.6625,78,16
637.372,979.772,0.69375,79,16
617.892,906.293,0.7,80,16
582.489,804.093,0.66875,81,16
649.285,1151.991,0.59375,82,16
619.063,914.304,0.66875,83,16
637.763,972.035,0.65625,84,16
706.102,1025.051,0.68125,85,16
694.64,1042.123,0.6125,86,16
608.541,833.663,0.7,87,16
649.819,896.771,0.65,88,16
685.822,933.321,0.5875,89,16
660.603,981.659,0.59375,90,16
685.149,938.642,0.68125,91,16
695.979,1023.103,0.625,92,16
646.332,863.427,0.70625,93,16
733.789,1005.698,0.6875,94,16
686.239,918.662,0.6375,95,16
667.988,1041.969,0.7125,96,16
656.546,925.61,0.6875,97,16
715.422,1166.345,0.64375,98,16
696.88,1068.552,0.675,99,16
695.403,1185.092,0.6875,100,16
690.64,1028.525,0.7,101,16
713.366,1016.065,0.64375,102,16
745.433,1110.555,0.6625,103,16
699.577,1091.881,0.65625,104,16
737.752,1098.633,0.65,105,16
732.405,957.708,0.66875,106,16
754.187,1024.4,0.6875,107,16
750.143,1186.52,0.63125,108,16
738.59,1008.834,0.6875,109,16
763.308,1014.201,0.7375,110,16
785.871,1009.484,0.64375,111,16
754.53,1182.504,0.5625,112,16
854.755,1112.707,0.61875,113,16
791.137,1182.301,0.6875,114,16
793.567,1120.538,0.68125,115,16
768.514,1150.251,0.64375,116,16
760.209,1136.866,0.65,117,16
821.083,1185.077,0.56875,118,16
839.39,1221.536,0.725,119,16
803.859,1299.228,0.7125,120,16
833.892,1244.937,0.65625,121,16
797.042,1096.789,0.6125,122,16
826.642,1151.007,0.61875,123,16
862.094,1197.322,0.65625,124,16
828.282,1173.446,0.6875,125,16
839.627,1151.005,0.69375,126,16
820.629,1255.812,0.65625,127,16
841.629,1131.526,0.6875,128,16
819.053,1179.235,0.59375,129,16
875.971,1293.208,0.7,130,16
825.836,1178.372,0.6625,131,16
890.587,1166.836,0.6375,132,16
864.199,1207.104,0.75625,133,16
904.394,1329.761,0.6625,134,16
888.971,1420.378,0.65625,135,16
880.293,1150.189,0.65625,136,16
930.031,1241.408,0.64375,137,16
899.793,1255.161,0.64375,138,16
880.774,1206.559,0.74375,139,16
926.801,1233.774,0.65,140,16
920.13,1260.934,0.625,141,16
927.101,1425.039,0.6875,142,16
969.25,1263.94,0.7375,143,16
931.203,1378.527,0.66875,144,16
950.682,1500.095,0.6375,145,16
947.996,1586.128,0.69375,146,16
968.722,1357.492,0.7,147,16
946.075,1303.316,0.6375,148,16
981.887,1415.868,0.625,149,16
990.06,1435.855,0.65,150,16
959.314,1354.963,0.63125,151,16
994.789,1293.639,0.64375,152,16
959.836,1285.41,0.63125,153,16
982.283,1340.879,0.675,154,16
1003.581,1279.781,0.625,155,16
1020.7,1371.862,0.65,156,16
1020.341,1306.629,0.6875,157,16
992.427,1435.722,0.7,158,16
1049.92,1483.427,0.68125,159,16
1016.366,1501.347,0.75625,160,16
1007.578,1323.715,0.64375,161,16
1030.738,1376.643,0.6375,162,16
1056.087,1437.457,0.73125,163,16
1062.967,1608.825,0.63125,164,16
1039.666,1565.668,0.61875,165,16
1042.287,1642.535,0.70625,166,16
1060.329,1655.676,0.64375,167,16
1069.058,1448.13,0.65,168,16
1077.2,1341.77,0.675,169,16
1044.007,1508.994,0.70625,170,16
1052.115,1606.826,0.70625,171,16
1143.044,1750.993,0.625,172,16
1075.912,1598.622,0.65,173,16
1108.93,1644.846,0.6625,174,16
1093.512,1532.342,0.6875,175,16
1080.37,1483.137,0.69375,176,16
1051.944,1463.41,0.7,177,16
1120.999,1616.356,0.68125,178,16
1103.097,1291.4,0.65625,179,16
1118.778,1705.748,0.625,180,16
1091.171,1565.422,0.66875,181,16
1166.823,1643.517,0.64375,182,16
1127.263,1564.403,0.61875,183,16
1118.748,1597.384,0.7875,184,16
1142.864,1539.55,0.65,185,16
1162.688,1655.826,0.6875,186,16
1156.065,1462.789,0.65625,187,16
1159.006,1607.743,0.7125,188,16
1155.565,1613.283,0.73125,189,16
1166.532,1547.579,0.65625,190,16
1183.843,1619.095,0.675,191,16
1183.792,1624.726,0.65,192,16
1198.202,1802.717,0.6375,193,16
1179.848,1572.371,0.675,194,16
1169.357,1520.79,0.6875,195,16
1159.709,1683.397,0.68125,196,16
1147.035,1453.294,0.675,197,16
1197.298,1659.226,0.64375,198,16
1214.971,1582.143,0.65625,199,16
1203.202,1619.989,0.65625,200,16
1239.755,1605.153,0.675,201,16
1264.866,1732.654,0.69375,202,16
1224.16,1724.01,0.74375,203,16
1261.291,1787.802,0.675,204,16
1231.166,1657.69,0.7,205,16
1261.184,1790.601,0.6875,206,16
1266.901,2098.386,0.6125,207,16
1276.755,1736.902,0.64375,208,16
1224.969,1891.728,0.6625,209,16
1280.489,1828.937,0.60625,210,16
1321.162,1697.952,0.61875,211,16
1304.008,1736.505,0.70625,212,16
