esperado,obtenido,accuracy,tareas,maquinas
222.079,435.645,0.675,17,16
245.524,411.017,0.63125,18,16
259.35,446.541,0.6375,19,16
259.747,530.432,0.64375,20,16
277.615,453.127,0.60625,21,16
263.885,492.149,0.63125,22,16
306.866,467,0.54375,23,16
282.201,521.671,0.6625,24,16
277.35,433.55,0.6875,25,16
306.621,503.796,0.63125,26,16
324.682,567.486,0.625,27,16
333.79,525.35,0.70625,28,16
326.417,444.015,0.63125,29,16
336.585,629.554,0.6625,30,16
354.382,614.516,0.66875,31,16
372.451,679.512,0.58125,32,16
338.11,535.218,0.625,33,16
372.324,685.143,0.7125,34,16
327.699,465.788,0.69375,35,16
411.014,760.008,0.65,36,16
383.126,640.394,0.65625,37,16
391.374,659.793,0.63125,38,16
377.38,673.435,0.64375,39,16
363.763,640.01,0.675,40,16
434.178,716.671,0.6625,41,16
433.312,763.05,0.675,42,16
411.726,713.711,0.58125,43,16
423.487,855.244,0.6125,44,16
419.296,707.916,0.73125,45,16
444.329,779.774,0.6125,46,16
399.132,603.007,0.65625,47,16
429.607,858.264,0.63125,48,16
431.406,630.39,0.6625,49,16
461.591,759.092,0.74375,50,16
470.847,660.456,0.61875,51,16
500.051,714.821,0.625,52,16
486.016,767.379,0.675,53,16
491.805,835.623,0.65,54,16
486.253,760.559,0.5875,55,16
457.062,862.8,0.725,56,16
514.307,859.86,0.63125,57,16
535.272,1005.596,0.64375,58,16
497.568,678.121,0.68125,59,16
523.914,950.324,0.60625,60,16
533.95,771.11,0.66875,61,16
544.013,892.099,0.66875,62,16
503.584,915.534,0.64375,63,16
517.787,846.135,0.7125,64,16
610.726,940.883,0.64375,65,16
528.181,744.354,0.68125,66,16
519.187,820.862,0.6625,67,16
544.254,781.195,0.725,68,16
571.999,1150.236,0.64375,69,16
572.631,968.52,0.71875,70,16
576.249,931.452,0.5875,71,16
591.495,965.864,0.6875,72,16
593.794,905.829,0.68125,73,16
581.483,849.204,0.6875,74,16
570.608,824.548,0.65,75,16
571.294,977.837,0.66875,76,16
644.147,964.91,0.66875,77,16
624.119,987.459,0.66875,78,16
637.372,1007.2,0.66875,79,16
617.892,950.839,0.74375,80,16
582.489,770.18,0.68125,81,16
649.285,991.394,0.61875,82,16
619.063,892.153,0.625,83,16
637.763,951.328,0.65625,84,16
706.102,1299.654,0.66875,85,16
694.64,1126.416,0.65625,86,16
608.541,867.775,0.71875,87,16
649.819,1062.99,0.68125,88,16
685.822,1022.431,0.6125,89,16
660.603,1061.506,0.60625,90,16
685.149,967.242,0.66875,91,16
695.979,1152.123,0.7,92,16
646.332,836.002,0.675,93,16
733.789,1238.804,0.675,94,16
686.239,1028.975,0.69375,95,16
667.988,1230.24,0.66875,96,16
656.546,967.874,0.7,97,16
715.422,1140.387,0.63125,98,16
696.88,1164.924,0.6875,99,16
695.403,1148.315,0.725,100,16
690.64,1066.442,0.68125,101,16
713.366,1006.941,0.66875,102,16
745.433,1164.131,0.6875,103,16
699.577,1120.146,0.7125,104,16
737.752,1166.719,0.69375,105,16
732.405,1044.325,0.6375,106,16
754.187,1310.022,0.71875,107,16
750.143,1187.507,0.63125,108,16
738.59,1356.443,0.6625,109,16
763.308,1191.624,0.74375,110,16
785.871,1289.425,0.6375,111,16
754.53,1292.136,0.6,112,16
854.755,1261.415,0.59375,113,16
791.137,1232.224,0.65625,114,16
793.567,1173.997,0.64375,115,16
768.514,1275.25,0.675,116,16
760.209,1001.451,0.64375,117,16
821.083,1222.237,0.58125,118,16
839.39,1332.969,0.6375,119,16
803.859,1245.924,0.70625,120,16
833.892,1227.513,0.65,121,16
797.042,1237.067,0.575,122,16
826.642,1258.138,0.6,123,16
862.094,1421.797,0.68125,124,16
828.282,1326.814,0.66875,125,16
839.627,1314.131,0.675,126,16
820.629,1478.844,0.675,127,16
841.629,1362.437,0.7375,128,16
819.053,1432.022,0.60625,129,16
875.971,1361.87,0.675,130,16
825.836,1261.924,0.66875,131,16
890.587,1402.806,0.7,132,16
864.199,1175.162,0.70625,133,16
904.394,1261.629,0.70625,134,16
888.971,1323.821,0.61875,135,16
880.293,1238.127,0.675,136,16
930.031,1222.073,0.63125,137,16
899.793,1412.29,0.65625,138,16
880.774,1191.462,0.75,139,16
926.801,1702.301,0.63125,140,16
920.13,1637.579,0.61875,141,16
927.101,1345.154,0.7125,142,16
969.25,1394.755,0.71875,143,16
931.203,1363.202,0.70625,144,16
950.682,1542.631,0.65625,145,16
947.996,1546.687,0.65625,146,16
968.722,1519.886,0.725,147,16
946.075,1494.547,0.675,148,16
981.887,1449.655,0.5875,149,16
990.06,1422.409,0.6625,150,16
959.314,1484.394,0.64375,151,16
994.789,1436.197,0.6625,152,16
959.836,1508.405,0.63125,153,16
982.283,1404.283,0.69375,154,16
1003.581,1574.419,0.6375,155,16
1020.7,1512.306,0.625,156,16
1020.341,1530.367,0.73125,157,16
992.427,1469.775,0.65625,158,16
1049.92,1711.661,0.6625,159,16
1016.366,1680.486,0.725,160,16
1007.578,1491.163,0.675,161,16
1030.738,1664.314,0.65,162,16
1056.087,1604.774,0.73125,163,16
1062.967,1628.531,0.66875,164,16
1039.666,1581.942,0.65625,165,16
1042.287,1558.381,0.6875,166,16
1060.329,1880.14,0.65,167,16
1069.058,1504.295,0.6375,168,16
1077.2,1682.949,0.6125,169,16
1044.007,1690.197,0.71875,170,16
1052.115,1469.086,0.69375,171,16
1143.044,2064.833,0.61875,172,16
1075.912,1953.103,0.675,173,16
1108.93,1706.856,0.65,174,16
1093.512,1545.453,0.69375,175,16
1080.37,1673.496,0.675,176,16
1051.944,1652.888,0.69375,177,16
1120.999,1755.079,0.68125,178,16
1103.097,1484.658,0.6625,179,16
1118.778,1565.246,0.65,180,16
1091.171,1867.236,0.6875,181,16
1166.823,1624.841,0.63125,182,16
1127.263,1663.693,0.65,183,16
1118.748,1716.212,0.73125,184,16
1142.864,1827.494,0.675,185,16
1162.688,1856.983,0.70625,186,16
