esperado,obtenido,accuracy,tareas,maquinas
222.079,356.154,0.65625,17,16
245.524,508.142,0.5875,18,16
259.35,480.815,0.5125,19,16
259.747,588.471,0.60625,20,16
277.615,452.247,0.50625,21,16
263.885,601.783,0.5,22,16
306.866,624.896,0.50625,23,16
282.201,551.794,0.55,24,16
277.35,616.045,0.59375,25,16
306.621,699.56,0.55625,26,16
324.682,511.002,0.575,27,16
333.79,638.972,0.61875,28,16
326.417,722.239,0.60625,29,16
336.585,624.432,0.6,30,16
354.382,722.425,0.625,31,16
372.451,775.852,0.5375,32,16
338.11,748.259,0.5375,33,16
372.324,557.642,0.65,34,16
327.699,609.706,0.575,35,16
411.014,840.661,0.58125,36,16
383.126,674.61,0.55625,37,16
391.374,833.583,0.54375,38,16
377.38,761.219,0.6,39,16
363.763,789.891,0.59375,40,16
434.178,930.981,0.56875,41,16
433.312,767.75,0.56875,42,16
411.726,755.576,0.59375,43,16
423.487,802.036,0.575,44,16
419.296,684.822,0.68125,45,16
444.329,832.224,0.5375,46,16
399.132,884.795,0.625,47,16
429.607,932.644,0.5375,48,16
431.406,765.866,0.63125,49,16
461.591,985.106,0.63125,50,16
470.847,1006.797,0.5125,51,16
500.051,980.086,0.5375,52,16
486.016,1078.532,0.55625,53,16
491.805,912.351,0.6125,54,16
486.253,909.222,0.55,55,16
457.062,932.019,0.65625,56,16
514.307,1059.561,0.53125,57,16
535.272,1218.875,0.60625,58,16
497.568,1075.524,0.6,59,16
523.914,1344.053,0.5625,60,16
533.95,1295.432,0.61875,61,16
544.013,1120.792,0.61875,62,16
503.584,1118.453,0.59375,63,16
517.787,1071.272,0.5875,64,16
610.726,1250.215,0.55625,65,16
528.181,1296.918,0.58125,66,16
519.187,1132.819,0.61875,67,16
544.254,925.184,0.63125,68,16
571.999,1359.609,0.5625,69,16
572.631,1339.72,0.625,70,16
576.249,1336.053,0.5875,71,16
591.495,1203.004,0.59375,72,16
593.794,1398.801,0.60625,73,16
581.483,1288.075,0.61875,74,16
570.608,1276.146,0.5875,75,16
571.294,1381.96,0.55625,76,16
644.147,1536.327,0.6,77,16
624.119,1496.217,0.6125,78,16
637.372,1243.469,0.63125,79,16
617.892,1330.106,0.61875,80,16
582.489,1384.163,0.65625,81,16
649.285,1373.052,0.58125,82,16
619.063,1245.078,0.575,83,16
637.763,1314.943,0.5625,84,16
706.102,1787.315,0.6,85,16
694.64,1616.1,0.5875,86,16
608.541,1172.853,0.63125,87,16
649.819,1665.221,0.55625,88,16
685.822,1411.959,0.5375,89,16
660.603,1489.192,0.53125,90,16
685.149,1616.379,0.58125,91,16
695.979,1764.291,0.58125,92,16
646.332,1454.872,0.6375,93,16
733.789,1785.137,0.575,94,16
686.239,1675.129,0.56875,95,16
667.988,1811.346,0.6375,96,16
656.546,1545.812,0.64375,97,16
715.422,1677.194,0.56875,98,16
