esperado,obtenido,accuracy,tareas,maquinas
222.079,323.57,0.625,17,16
245.524,429.808,0.58125,18,16
259.35,424.542,0.49375,19,16
259.747,448.966,0.5625,20,16
277.615,417.59,0.50625,21,16
263.885,437.507,0.5375,22,16
306.866,496.581,0.4875,23,16
282.201,396.534,0.575,24,16
277.35,454.073,0.61875,25,16
306.621,506.126,0.5875,26,16
324.682,515.514,0.5625,27,16
333.79,591.942,0.625,28,16
326.417,461.126,0.58125,29,16
336.585,587.198,0.6,30,16
354.382,558.087,0.65625,31,16
372.451,576.641,0.53125,32,16
338.11,550.026,0.55625,33,16
372.324,651.076,0.64375,34,16
327.699,507.14,0.61875,35,16
411.014,626.192,0.55625,36,16
383.126,550.157,0.6125,37,16
391.374,582.814,0.5875,38,16
377.38,509.519,0.63125,39,16
363.763,578.895,0.60625,40,16
434.178,560.538,0.59375,41,16
433.312,730.695,0.63125,42,16
411.726,598.632,0.6,43,16
423.487,596.811,0.64375,44,16
419.296,557.894,0.66875,45,16
444.329,619.769,0.5875,46,16
399.132,677.611,0.625,47,16
429.607,671.561,0.5875,48,16
431.406,599.114,0.625,49,16
461.591,656.565,0.65625,50,16
470.847,675.94,0.6,51,16
500.051,728.974,0.575,52,16
486.016,794.372,0.6125,53,16
491.805,760.9,0.68125,54,16
486.253,767.674,0.58125,55,16
457.062,840.022,0.675,56,16
514.307,850.116,0.5875,57,16
535.272,816.463,0.63125,58,16
497.568,724.389,0.68125,59,16
523.914,826.596,0.59375,60,16
533.95,669.232,0.65625,61,16
544.013,692.822,0.59375,62,16
503.584,913.08,0.63125,63,16
517.787,759.313,0.69375,64,16
610.726,1060.207,0.65,65,16
528.181,862.689,0.5875,66,16
519.187,806.043,0.6375,67,16
544.254,956.629,0.71875,68,16
571.999,907.427,0.6,69,16
572.631,899.199,0.6875,70,16
576.249,896.869,0.5875,71,16
591.495,936.917,0.6625,72,16
593.794,1030.334,0.6625,73,16
581.483,940.303,0.6375,74,16
570.608,857.023,0.6375,75,16
571.294,1013.945,0.625,76,16
644.147,1015.783,0.625,77,16
624.119,981.077,0.65,78,16
637.372,862.728,0.7125,79,16
617.892,946.016,0.6875,80,16
582.489,1079.015,0.68125,81,16
649.285,1129.479,0.6125,82,16
619.063,939.709,0.64375,83,16
637.763,1140.069,0.6125,84,16
706.102,1171.787,0.65,85,16
694.64,998.507,0.60625,86,16
608.541,932.552,0.69375,87,16
649.819,1025.542,0.66875,88,16
685.822,1037.989,0.5625,89,16
660.603,909.087,0.5625,90,16
685.149,1072.911,0.675,91,16
695.979,976.621,0.625,92,16
646.332,934.68,0.66875,93,16
733.789,1035.696,0.63125,94,16
686.239,1042.273,0.6625,95,16
667.988,1117.542,0.71875,96,16
656.546,938.31,0.68125,97,16
715.422,1042.17,0.61875,98,16
696.88,1196.336,0.66875,99,16
695.403,1106.708,0.71875,100,16
690.64,991,0.675,101,16
713.366,1049.438,0.65625,102,16
745.433,1162.966,0.68125,103,16
699.577,1128.79,0.71875,104,16
737.752,1156.072,0.66875,105,16
732.405,1035.254,0.65625,106,16
754.187,1160.744,0.725,107,16
750.143,1284.45,0.6625,108,16
738.59,1191.825,0.61875,109,16
763.308,1184.688,0.7125,110,16
785.871,1099.773,0.63125,111,16
754.53,1278.763,0.63125,112,16
854.755,1140.824,0.63125,113,16
791.137,1329.947,0.66875,114,16
793.567,1184.729,0.7125,115,16
768.514,1228.424,0.69375,116,16
760.209,1173.91,0.6625,117,16
821.083,1580.36,0.51875,118,16
839.39,1296.544,0.6875,119,16
803.859,1168.803,0.7,120,16
833.892,1337.023,0.66875,121,16
797.042,1236.201,0.6125,122,16
826.642,1356.355,0.6125,123,16
862.094,1352.336,0.65625,124,16
828.282,1362.591,0.65625,125,16
839.627,1227.443,0.725,126,16
820.629,1285.286,0.65625,127,16
841.629,1293.382,0.69375,128,16
819.053,1417.011,0.6125,129,16
875.971,1346.315,0.7,130,16
825.836,1411.364,0.64375,131,16
890.587,1253.192,0.64375,132,16
864.199,1203.062,0.725,133,16
904.394,1251.735,0.69375,134,16
888.971,1428.515,0.60625,135,16
880.293,1545.144,0.68125,136,16
930.031,1221.303,0.63125,137,16
899.793,1489.658,0.68125,138,16
880.774,1247.452,0.71875,139,16
926.801,1375.394,0.6875,140,16
920.13,1362.503,0.65625,141,16
927.101,1563.096,0.75,142,16
969.25,1582.394,0.725,143,16
931.203,1267.103,0.73125,144,16
950.682,1682.945,0.64375,145,16
947.996,1555.704,0.675,146,16
968.722,1399.96,0.7375,147,16
946.075,1431.187,0.66875,148,16
981.887,1417.716,0.63125,149,16
990.06,1574.964,0.65,150,16
959.314,1531.701,0.65625,151,16
994.789,1407.619,0.69375,152,16
959.836,1401.409,0.625,153,16
982.283,1355.548,0.6875,154,16
1003.581,1510.847,0.675,155,16
1020.7,1650.999,0.68125,156,16
1020.341,1445.373,0.75,157,16
992.427,1352.908,0.7125,158,16
1049.92,1497.227,0.69375,159,16
1016.366,1491.879,0.7625,160,16
1007.578,1543.948,0.69375,161,16
1030.738,1351.241,0.69375,162,16
1056.087,1563.409,0.74375,163,16
1062.967,1444.003,0.65625,164,16
1039.666,1755.088,0.69375,165,16
1042.287,1549.298,0.68125,166,16
1060.329,1670.914,0.70625,167,16
1069.058,1593.544,0.7125,168,16
1077.2,1484.974,0.69375,169,16
1044.007,1584.265,0.69375,170,16
1052.115,1504.172,0.7125,171,16
1143.044,1751.463,0.63125,172,16
1075.912,1697.854,0.6875,173,16
1108.93,1778.229,0.69375,174,16
1093.512,1578.707,0.74375,175,16
1080.37,1543.72,0.7375,176,16
1051.944,1609.535,0.725,177,16
1120.999,1663.569,0.6875,178,16
1103.097,1450.815,0.725,179,16
1118.778,1505.462,0.6875,180,16
1091.171,1614.866,0.68125,181,16
1166.823,1659.349,0.65,182,16
1127.263,1490.726,0.6875,183,16
1118.748,1677.528,0.76875,184,16
1142.864,1571.415,0.725,185,16
1162.688,1732.499,0.69375,186,16
1156.065,1558.718,0.69375,187,16
1159.006,1787.091,0.725,188,16
1155.565,1628.69,0.7125,189,16
1166.532,1595.609,0.66875,190,16
1183.843,1792.626,0.7125,191,16
1183.792,1966.789,0.65,192,16
1198.202,1816.306,0.70625,193,16
1179.848,1738.254,0.725,194,16
1169.357,1722.055,0.70625,195,16
1159.709,1553.778,0.66875,196,16
1147.035,1689.831,0.71875,197,16
1197.298,1862.164,0.68125,198,16
1214.971,1701.259,0.64375,199,16
1203.202,1862.799,0.74375,200,16
1239.755,1665.498,0.6625,201,16
1264.866,1871.487,0.6875,202,16
1224.16,1824.121,0.725,203,16
1261.291,1820.86,0.69375,204,16
1231.166,1675.788,0.7375,205,16
1261.184,1862.897,0.64375,206,16
1266.901,2104.734,0.63125,207,16
1276.755,1808.233,0.70625,208,16
1224.969,1865.779,0.69375,209,16
1280.489,1977.665,0.675,210,16
1321.162,1768.533,0.64375,211,16
1304.008,2005.73,0.725,212,16
1311.121,2121.16,0.69375,213,16
1299.989,1667.144,0.69375,214,16
1325.685,2051.315,0.7375,215,16
1251.699,1836.938,0.675,216,16
1348.309,1966.89,0.7375,217,16
1326.793,2009.627,0.7125,218,16
1352.439,1867.748,0.70625,219,16
1322.208,1833.543,0.6875,220,16
1306.812,1900.056,0.69375,221,16
1307.519,1943.418,0.73125,222,16
1316.517,1961.326,0.675,223,16
1303.81,1745.505,0.73125,224,16
